datetime,battery_voltage,battery_current,battery_state_of_charge,battery_temperature_1,battery_temperature_2
12/21/2022 12:55,48.77000046,22,0.689999998,29.5,
12/21/2022 13:05,48.70000076,19,0.689999998,29.5,
12/21/2022 13:15,48.70000076,19,0.689999998,29.5,
12/21/2022 13:25,48.81000137,22,0.689999998,29.5,
12/21/2022 13:35,48.93999863,26.39999962,0.699999988,29.60000038,
12/21/2022 13:45,49.56999969,47,0.699999988,30.10000038,
12/21/2022 13:55,49.63000107,48.40000153,0.699999988,30.89999962,
12/21/2022 14:05,49.59000015,44,0.699999988,31.29999924,
12/21/2022 14:15,49.15999985,25,0.699999988,30.70000076,
12/21/2022 14:25,48.70000076,10.19999981,0.709999979,30.10000038,
12/21/2022 14:35,48.15999985,0,0.709999979,30.10000038,
12/21/2022 14:45,48.04999924,0,0.709999979,30,
12/21/2022 14:55,47.91999817,-4.400000095,0.709999979,29.79999924,
12/21/2022 15:05,47.99000168,0,0.709999979,29.70000076,
12/21/2022 15:15,48.11999893,1.600000024,0.709999979,29.60000038,
12/21/2022 15:25,48.29000092,1.600000024,0.709999979,29.5,
12/21/2022 15:35,47.88000107,-5.800000191,0.709999979,29.39999962,
12/21/2022 15:45,47.65999985,-10.19999981,0.709999979,29.29999924,
12/21/2022 15:55,47.63999939,-8.800000191,0.709999979,29.29999924,
12/21/2022 16:05,47.70000076,-4.400000095,0.699999988,29.20000076,
12/21/2022 16:15,47.41999817,-16,0.699999988,29.20000076,
12/21/2022 16:25,47.29000092,-20.39999962,0.699999988,29.10000038,
12/21/2022 16:35,47.18000031,-23.39999962,0.699999988,29,
12/21/2022 16:45,47.06999969,-27.79999924,0.699999988,28.89999962,
12/21/2022 16:55,46.99000168,-30.79999924,0.699999988,28.89999962,
12/21/2022 17:05,46.90000153,-33.59999847,0.699999988,28.79999924,
12/21/2022 17:15,46.77000046,-36.59999847,0.689999998,28.70000076,
12/21/2022 17:25,46.65999985,-42.40000153,0.689999998,28.60000038,
12/21/2022 17:35,46.52999878,-45.40000153,0.689999998,28.5,
12/21/2022 17:45,46.41999817,-46.79999924,0.689999998,28.5,
12/21/2022 17:55,46.34000015,-46.79999924,0.680000007,28.39999962,
12/21/2022 18:05,46.27000046,-46.79999924,0.680000007,28.29999924,
12/21/2022 18:15,46.18000031,-49.79999924,0.680000007,28.29999924,
12/21/2022 18:25,46.11999893,-49.79999924,0.680000007,28.20000076,
12/21/2022 18:35,46.08000183,-46.79999924,0.670000017,28,
12/21/2022 18:45,46.02999878,-46.79999924,0.670000017,27.89999962,
12/21/2022 18:55,45.99000168,-48.40000153,0.670000017,27.89999962,
12/21/2022 19:05,45.95000076,-46.79999924,0.660000026,27.79999924,
12/21/2022 19:15,45.90000153,-48.40000153,0.660000026,27.79999924,
12/21/2022 19:25,45.84000015,-48.40000153,0.660000026,27.60000038,
12/21/2022 19:35,45.81999969,-48.40000153,0.660000026,27.60000038,
12/21/2022 19:45,45.79000092,-48.40000153,0.649999976,27.5,
12/21/2022 19:55,45.75,-48.40000153,0.649999976,27.5,
12/21/2022 20:05,45.72999954,-48.40000153,0.649999976,27.39999962,
12/21/2022 20:15,45.65999985,-48.40000153,0.639999986,27.29999924,
12/21/2022 20:25,45.63999939,-48.40000153,0.639999986,27.29999924,
12/21/2022 20:35,45.61999893,-48.40000153,0.639999986,27.29999924,
12/21/2022 20:45,45.59999847,-46.79999924,0.639999986,27.20000076,
12/21/2022 20:55,45.58000183,-48.40000153,0.629999995,27.10000038,
12/21/2022 21:05,45.52999878,-48.40000153,0.629999995,27.10000038,
12/21/2022 21:15,45.50999832,-49.79999924,0.629999995,27.10000038,
12/21/2022 21:25,45.49000168,-48.40000153,0.620000005,27,
12/21/2022 21:35,45.47000122,-48.40000153,0.620000005,27,
12/21/2022 21:45,45.43000031,-48.40000153,0.620000005,26.89999962,
12/21/2022 21:55,45.40000153,-48.40000153,0.620000005,26.79999924,
12/21/2022 22:05,45.38000107,-48.40000153,0.610000014,26.79999924,
12/21/2022 22:15,45.36000061,-46.79999924,0.610000014,26.70000076,
12/21/2022 22:25,45.31999969,-48.40000153,0.610000014,26.70000076,
12/21/2022 22:35,45.29999924,-48.40000153,0.600000024,26.70000076,
12/21/2022 22:45,45.27000046,-46.79999924,0.600000024,26.60000038,
12/21/2022 22:55,45.25,-48.40000153,0.600000024,26.60000038,
12/21/2022 23:05,45.16999817,-48.40000153,0.600000024,26.60000038,
12/21/2022 23:15,45.16999817,-46.79999924,0.589999974,26.5,
12/21/2022 23:25,45.13999939,-46.79999924,0.589999974,26.5,
12/21/2022 23:35,45.11999893,-46.79999924,0.589999974,26.39999962,
12/21/2022 23:45,45.08000183,-46.79999924,0.589999974,26.5,
12/21/2022 23:55,45.06000137,-46.79999924,0.579999983,26.5,
12/22/2022 0:05,45.04000092,-46.79999924,0.579999983,26.29999924,
12/22/2022 0:15,45.00999832,-46.79999924,0.579999983,26.39999962,
12/22/2022 0:25,44.95000076,-46.79999924,0.569999993,26.39999962,
12/22/2022 0:35,44.93000031,-46.79999924,0.569999993,26.29999924,
12/22/2022 0:45,44.88000107,-46.79999924,0.569999993,26.20000076,
12/22/2022 0:55,44.84000015,-49.79999924,0.569999993,26.10000038,
12/22/2022 1:05,44.81999969,-46.79999924,0.560000002,26.10000038,
12/22/2022 1:15,44.79999924,-46.79999924,0.560000002,26.10000038,
12/22/2022 1:25,44.75,-46.79999924,0.560000002,26.10000038,
12/22/2022 1:35,44.70999908,-46.79999924,0.550000012,25.89999962,
12/22/2022 1:45,44.66999817,-46.79999924,0.550000012,25.89999962,
12/22/2022 1:55,44.61999893,-46.79999924,0.550000012,25.89999962,
12/22/2022 2:05,44.59999847,-46.79999924,0.550000012,25.89999962,
12/22/2022 2:15,44.56000137,-46.79999924,0.540000021,25.79999924,
12/22/2022 2:25,44.38000107,-46.79999924,0.540000021,25.79999924,
12/22/2022 2:35,44.47000122,-46.79999924,0.540000021,25.70000076,
12/22/2022 2:45,44.43000031,-48.40000153,0.540000021,25.60000038,
12/22/2022 2:55,44.38000107,-46.79999924,0.529999971,25.5,
12/22/2022 3:05,44.34000015,-46.79999924,0.529999971,25.5,
12/22/2022 3:15,44.29999924,-46.79999924,0.529999971,25.39999962,
12/22/2022 3:25,44.22999954,-48.40000153,0.519999981,25.5,
12/22/2022 3:35,44.18999863,-48.40000153,0.519999981,25.39999962,
12/22/2022 3:45,44.15000153,-48.40000153,0.519999981,25.5,
12/22/2022 3:55,44.09999847,-48.40000153,0.519999981,25.5,
12/22/2022 4:05,44.04000092,-48.40000153,0.50999999,25.39999962,
12/22/2022 4:15,43.97000122,-48.40000153,0.090000004,25.39999962,
12/22/2022 4:25,43.93000031,-46.79999924,0.090000004,25.29999924,
12/22/2022 4:35,43.88999939,-48.40000153,0.090000004,25.20000076,
12/22/2022 4:45,43.79999924,-48.40000153,0.090000004,25.39999962,
12/22/2022 4:55,43.72999954,-48.40000153,0.079999998,25.20000076,
12/22/2022 5:05,43.66999817,-48.40000153,0.079999998,25.10000038,
12/22/2022 5:15,43.59999847,-48.40000153,0.079999998,25.10000038,
12/22/2022 5:25,43.52000046,-48.40000153,0.07,25.10000038,
12/22/2022 5:35,43.43000031,-48.40000153,0.07,25,
12/22/2022 5:45,43.38999939,-48.40000153,0.07,25,
12/22/2022 5:55,43.27999878,-48.40000153,0.07,25.10000038,
12/22/2022 6:05,43.20999908,-48.40000153,0.059999999,25,
12/22/2022 13:05,51.54000092,80.59999847,0.800000012,50,
12/22/2022 13:15,52.54000092,126,0.800000012,44.40000153,
12/22/2022 13:25,53.20999908,164,0.810000002,43.09999847,
12/22/2022 13:35,52.74000168,124.5999985,0.819999993,42.70000076,
12/22/2022 13:45,53.18999863,148,0.819999993,41.70000076,
12/22/2022 13:55,52.79999924,114.1999969,0.829999983,41.40000153,
12/22/2022 14:05,51.36999893,44,0.839999974,36.29999924,
12/22/2022 14:15,53,124.5999985,0.839999974,38.29999924,
12/22/2022 14:25,52.18999863,67.40000153,0.850000024,36.40000153,
12/22/2022 14:35,53.16999817,117.1999969,0.850000024,39.70000076,
12/22/2022 14:45,53.16999817,114.1999969,0.860000014,39.90000153,
12/22/2022 14:55,52.97000122,96.80000305,0.860000014,39.59999847,
12/22/2022 15:05,52.97000122,92.40000153,0.870000005,39.09999847,
12/22/2022 15:15,53,89.40000153,0.879999995,40.40000153,
12/22/2022 15:25,52.97000122,83.59999847,0.879999995,42.70000076,
12/22/2022 15:35,52.70999908,68.80000305,0.879999995,42.70000076,
12/22/2022 15:45,52.77999878,68.80000305,0.889999986,42,
12/22/2022 15:55,52.65000153,61.59999847,,30.10000038,
12/22/2022 16:05,52.52000046,52.79999924,,30.10000038,
12/22/2022 16:15,52,23.39999962,,30.20000076,
12/22/2022 16:25,51.97999954,27.79999924,,30.39999962,
12/22/2022 16:35,51.72000122,19,,30.39999962,
12/22/2022 16:45,51.86999893,29.39999962,,30.39999962,
12/22/2022 16:55,51.36999893,10.19999981,,30.5,
12/22/2022 17:05,50.33000183,-20.39999962,,30.5,
